id	title	description	link	price	condition	availability	image_link	tax	shipping_weight	shipping	google_product_category	product_type	gtin	custom_label_1
celebird-eg-media-002	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-4.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	55%
celebird-eg-media-012	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-5.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	60%
celebird-eg-media-022	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-2.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	65%
celebird-eg-media-032	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-3.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	70%
celebird-eg-media-042	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-4.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	75%
celebird-eg-media-052	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-5.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	80%
celebird-eg-media-062	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-2.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	85%
celebird-eg-media-072	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-3.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	90%
celebird-eg-media-082	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-4.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	95%
celebird-eg-media-091	The Feynman Lectures on Physics	The Feynman Lectures on Physics, the boxed set and New Millennium Edition hardcover version in collobration with Caltech. The teaching experiment that became a definitive guide to physics. By Richard P. Feynman (Author), Robert B. Leighton (Author), and Matthew Sands (Author); Publisher: Basic Books; 1 edition (January 4, 2011); Product Dimensions: 11.9 x 9 x 4 inches.	http://www.example.com/shop?products=media&id=celebird-eg-media-001&country=US	500240.00 USD	used	in stock	http://mankindunplugged.com/wp-content/uploads/2015/04/Visvim-Skagway-Denim-Suede-Sneakers-5.jpg	US:CA:7.25:y	10.3 lb	US:::10.50 USD	Media > Books	Texbooks > Science > Physics	9780465023820	99%
